127.0.0.1, 2014-04-12 11:12:26, GET, /, HTTP/1.1, 303, 0.001574
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.298982
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001019
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000629
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000404
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000414
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2014-04-12 11:12:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000662
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000770
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000632
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000377
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001257
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000935
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000884
127.0.0.1, 2014-04-12 11:12:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000413
127.0.0.1, 2014-04-12 11:23:57, GET, /admin/default/index, HTTP/1.1, 200, 0.142016
127.0.0.1, 2014-04-12 11:23:57, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.000579
127.0.0.1, 2014-04-12 11:23:57, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2014-04-12 11:23:57, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000411
